column_name,code,value
PAISPRO,355,HUNGRIA
PAISPRO,361,INDIA
PAISPRO,365,INDONESIA
PAISPRO,369,IRAK
PAISPRO,372,"IRAN, REPUBLICA ISLAMICA DEL"
PAISPRO,375,IRLANDA (EIRE)
PAISPRO,379,ISLANDIA
PAISPRO,383,ISRAEL
PAISPRO,386,ITALIA
PAISPRO,391,JAMAICA
PAISPRO,399,JAPON
PAISPRO,403,JORDANIA
PAISPRO,406,KAZAJSTAN
PAISPRO,410,KENIA
PAISPRO,411,KIRIBATI
PAISPRO,412,KIRGUIZISTAN
PAISPRO,413,KUWAIT
PAISPRO,420,"LAOS, REPUBLICA POPULAR DEMOCRATICA DE"
PAISPRO,426,LESOTHO
PAISPRO,429,LETONIA
PAISPRO,431,LIBANO
PAISPRO,434,LIBERIA
PAISPRO,438,LIBIA (INCLUYE FEZZAN)
PAISPRO,440,LIECHTENSTEIN
PAISPRO,443,LITUANIA
PAISPRO,445,LUXEMBURGO
PAISPRO,447,MACAO
PAISPRO,448,MACEDONIA
PAISPRO,450,MADAGASCAR
PAISPRO,455,MALAYSIA
PAISPRO,458,MALAWI
PAISPRO,461,MALDIVAS
PAISPRO,464,MALI
PAISPRO,467,MALTA
PAISPRO,469,"MARIANAS DEL NORTE, ISLAS"
PAISPRO,472,"MARSHALL, ISLAS"
PAISPRO,474,MARRUECOS
PAISPRO,477,MARTINICA
PAISPRO,485,MAURICIO
PAISPRO,488,MAURITANIA
PAISPRO,493,MEXICO
PAISPRO,494,"MICRONESIA, ESTADOS FEDERADOS DE"
PAISPRO,496,MOLDAVIA
PAISPRO,497,MONGOLIA
PAISPRO,498,MONACO
PAISPRO,501,"MONSERRAT, ISLA"
PAISPRO,505,MOZAMBIQUE
PAISPRO,507,NAMIBIA
PAISPRO,508,NAURU
PAISPRO,511,"NAVIDAD (CHRISTMAS), ISLAS"
PAISPRO,517,NEPAL
PAISPRO,521,NICARAGUA
PAISPRO,525,NIGER
PAISPRO,528,NIGERIA
PAISPRO,531,"NIUE, ISLA"
PAISPRO,535,"NORFOLK, ISLA"
PAISPRO,538,NORUEGA
PAISPRO,542,NUEVA CALEDONIA
PAISPRO,545,PAPUASIA NUEVA GUINEA
PAISPRO,548,NUEVA ZELANDIA
PAISPRO,551,VANUATU
PAISPRO,556,OMAN
PAISPRO,566,"PACIFICO, ISLAS (USA)"
PAISPRO,573,PAISES BAJOS (HOLANDA)
PAISPRO,576,PAKISTAN
PAISPRO,578,"PALAU, ISLAS"
PAISPRO,580,PANAMA
PAISPRO,586,PARAGUAY
PAISPRO,589,PERU
PAISPRO,593,"PITCAIRN, ISLA"
PAISPRO,599,POLINESIA FRANCESA
PAISPRO,603,POLONIA
PAISPRO,607,PORTUGAL
PAISPRO,611,PUERTO RICO
PAISPRO,618,QATAR
PAISPRO,628,REINO UNIDO
PAISPRO,640,REPUBLICA CENTROAFRICANA
PAISPRO,644,REPUBLICA CHECA
PAISPRO,647,REPUBLICA DOMINICANA
PAISPRO,660,REUNION
PAISPRO,665,ZIMBABWE
PAISPRO,670,RUMANIA
PAISPRO,675,RUANDA
PAISPRO,676,RUSIA
PAISPRO,677,"SALOMON, ISLAS"
PAISPRO,685,SAHARA OCCIDENTAL
PAISPRO,687,SAMOA
PAISPRO,690,SAMOA NORTEAMERICANA
PAISPRO,695,SAN CRISTOBAL Y NIEVES
PAISPRO,697,SAN MARINO
PAISPRO,700,SAN PEDRO Y MIGUELON
PAISPRO,705,SAN VICENTE Y LAS GRANADINAS
PAISPRO,710,SANTA ELENA
PAISPRO,715,SANTA LUCIA
PAISPRO,720,SANTO TOME Y PRINCIPE
PAISPRO,728,SENEGAL
PAISPRO,731,SEYCHELLES
PAISPRO,735,SIERRA LEONA
PAISPRO,741,SINGAPUR
PAISPRO,744,"SIRIA, REPUBLICA ARABE DE"
PAISPRO,748,SOMALIA
PAISPRO,750,SRI LANKA
PAISPRO,756,"SUDAFRICA, REPUBLICA DE"
PAISPRO,759,SUDAN
PAISPRO,764,SUECIA
PAISPRO,767,SUIZA
