column_name,code,value
BANDERA,977,ZFP Puerta de l
BANDERA,979,ZFPE Productos
BANDERA,980,ZFPE Sociedad P
BANDERA,981,ZFPE Fundacion
BANDERA,982,ZFPE Alimentos
BANDERA,983,ZFPE Convergys
BANDERA,984,ZFPE Procesador
BANDERA,985,ZFP Internacion
BANDERA,987,ZFP Brisa
BANDERA,988,ZFPE Loma Fresc
BANDERA,989,ZFP Parque Cent
BANDERA,991,ZFP Conjunto In
BANDERA,996,ZFPE Compañía O
BANDERA,997,ZFP SurColombia
BANDERA,998,ZFPE Sociedad P
BANDERA,880,Yemen
"BANDERA,756,""Sudáfrica,Repú"""
BANDERA,890,Zambia
BANDERA,665,Zimbabwe
BANDERA,999,No Declarados
BANDERA,47,ANTILLAS NEERLANDESAS.
BANDERA,688,SERBIA Y MONTENEGRO
BANDERA,885,YUGOSLAVIA(SERBIA Y MONTENEGRO).
BANDERA,949,ZF PERMANENTE ESPECIAL ACER?AS PAZ DEL R?O
BANDERA,947,ZF PERMANENTE ESPECIAL SIEMENS.
BANDERA,900,ZFP Andina.
"MODAD,104,""Exportación definitiva de mercancías que resultaron averiadas,defectuosas o impropias para el fin que se importaron."""
"MODAD,105,""Reposición de partes o piezas suministradas como indemnización o seguro,o como garantía otorgada por el fabricante."""
"MODAD,106,""Equipo y piezas suministradas para la reparación en barcos,aviones y otros vehículos extranjeros."""
MODAD,107,Donaciones.
MODAD,198,Exportación definitiva de mercancías de fabricación o producción nacional.
MODAD,199,Las demás exportaciones definitivas no incluidas en los ítems anteriores.
MODAD,201,Mercancías exportadas temporalmente para transformación o elaboración.
MODAD,202,Mercancías exportadas temporalmente para reparación.
MODAD,301,Bienes destinados exclusivamente para fines experimentales
MODAD,302,Máquina y equipo para uso en obras públicas y similares.
"MODAD,303,""Mercancías para ferias internacionales,conferencias,seminarios y exposiciones."""
"MODAD,304,""Elementos,equipos de utilería sacados temporalmente por compafñías y teatrales,circos,orquestas y bandas."""
"MODAD,305,""Vehículos automotores,motocicletas,bicicletas de carrera,etc.,salidos temporalmente del país para participar en carreras,concursos o exhibiciones."""
"MODAD,306,""Caballos de carreras,bestias de tiro y silla,salidos del país para competencias o exhibiciones."""
MODAD,307,Envases restituibles.
"MODAD,308,""Bienes exportación temporal con fines de exhibición,como fotografías,películas científicas,etc."""
"MODAD,309,""Bienes en arriendo,alquiler o préstamo."""
MODAD,310,Exportación de mercancías en consignación
"MODAD,399,""Las mercancías para reimportación en el mismo estado,cuando no estén incluidas en los ítems anteriores."""
MODAD,401,Reexportación definitiva de mercancías que estuvieron sometidas a una modalidad de importación temporal o de transformación o de ensamble.
MODAD,402,Reexportación definitiva de mercancías importadas temporalmente para perfeccionamiento activo en desarrollo de los sistemas especiales de Importación - Exportación.
MODAD,403,Reexportación temporal de bienes de capital o sus partes que encontrándose importados temporalmente deban salir para ser objeto de reparación o reemplazo en el exterior o en una zona franca industrial de bienes y de servicios.
MODAD,500,Reembarques.
MODAD,600,Programas especiales de exportación PEX.
MODAD,701,Salida temporal de bienes que en cumplimiento de garantía son reparados en el exterior.
FINALID,1,Con Reintegro
FINALID,2,Sin Reintegro
CER_ORI1,1,CAN
CER_ORI1,2,ALADI
CER_ORI1,3,G-3
CER_ORI1,4,CARICOM
CER_ORI1,5,ATPA
CER_ORI1,6,S.G.P.
CER_ORI1,7,OTROS
CER_ORI1,8,NINGUNO
SISESP,1,Si
SISESP,2,No
UNID,Kg,Kilogramo
UNID,c/t,Quilate
UNID,m,Metro
UNID,m2,Metro cuadrado
UNID,m3,Metro cúbico
UNID,cm3,Centímetro cúbico
UNID,I,Litro
UNID,u,Unidades o artículos
UNID,2u,Par
UNID,12u,Docena
UNID,MIL,Millar
UNID,kWh,Kilovatios hora
CODUNI2,Kg,Kilogramo
CODUNI2,c/t,Quilate
CODUNI2,m,Metro
CODUNI2,m2,Metro cuadrado
CODUNI2,m3,Metro cúbico
CODUNI2,cm3,Centímetro cúbico
CODUNI2,I,Litro
CODUNI2,u,Unidades o artículos
CODUNI2,2u,Par
CODUNI2,12u,Docena
CODUNI2,MIL,Millar
CODUNI2,kWh,Kilovatios hora
